Date, DEQ , Bench ,
24-Jun-15,0.00885882,-0.00587784,
25-Jun-15,-0.00553136,-0.00263314,
26-Jun-15,0.00139053,0.00283285,
29-Jun-15,-0.02263417,-0.02466116,
30-Jun-15,-0.00838247,-0.00494894,
1-Jul-15,0.00888316,0.01319332,
2-Jul-15,-0.00099411,-0.00190181,
3-Jul-15,-0.00255882,-0.0028706,
6-Jul-15,-0.00869379,-0.00583772,
7-Jul-15,0.00014377,0.00153466,
8-Jul-15,-0.0159563,-0.01383518,
9-Jul-15,0.01073698,0.0129554,
10-Jul-15,0.00744327,0.01069447,
13-Jul-15,0.02173445,0.02249221,
14-Jul-15,0,0.00522286,
15-Jul-15,0.00575681,0.00398186,
16-Jul-15,0.01347201,0.01323337,
17-Jul-15,-0.00068875,0.00285786,
20-Jul-15,-0.00096492,0.00166093,
21-Jul-15,-0.00745085,-0.01061102,
22-Jul-15,-0.00695072,-0.001878,
23-Jul-15,-0.01175894,-0.0091404,
24-Jul-15,-0.0135987,-0.00935963,
27-Jul-15,-0.01902779,-0.02016236,
28-Jul-15,0.0136144,0.01478291,
29-Jul-15,0.00967649,0.00885985,
30-Jul-15,0.010442,0.00717017,
31-Jul-15,-0.00594564,-0.00596272,
3-Aug-15,0.00135289,0.00545929,
4-Aug-15,0.00127995,-0.00111729,
5-Aug-15,0.01512677,0.01224487,
6-Aug-15,-0.00874493,-0.00964485,
7-Aug-15,-0.00550498,-0.00706363,
10-Aug-15,0.01050316,0.00810852,
11-Aug-15,-0.02099867,-0.01550587,
12-Aug-15,-0.01757532,-0.01893102,
13-Aug-15,0.00533041,0.00768427,
14-Aug-15,0.00217897,0.00227564,
17-Aug-15,0.00362371,0.00596148,
18-Aug-15,-0.00108319,0.00160342,
19-Aug-15,-0.01792814,-0.01380851,
20-Aug-15,-0.02583732,-0.02732208,
21-Aug-15,-0.03543902,-0.03593089,
24-Aug-15,-0.05248727,-0.05813556,
25-Aug-15,0.01868541,0.02157606,
26-Aug-15,0.00779158,0.01020849,
27-Aug-15,0.03978417,0.03882643,
28-Aug-15,0.00425993,0.00239387,
31-Aug-15,-0.00131112,-0.00492001,
01-Sep-15,-0.02988648,-0.0307263,
02-Sep-15,0.00859736,0.01203753,
03-Sep-15,0.01886346,0.01824176,
04-Sep-15,-0.02261988,-0.02074625,
07-Sep-15,-0.00007926,0.00020293,
08-Sep-15,0.01815155,0.01760295,
09-Sep-15,0.00085636,0.00050183,
10-Sep-15,-0.00598942,-0.00587731,
11-Sep-15,-0.00759058,-0.00585689,
14-Sep-15,-0.00496767,-0.00434737,
15-Sep-15,0.01212457,0.0106476,
16-Sep-15,0.01354526,0.01066634,
17-Sep-15,-0.00733874,-0.00275449,
18-Sep-15,-0.02217899,-0.01963289,
21-Sep-15,0.00907282,0.01571197,
22-Sep-15,-0.02263585,-0.0192298,
23-Sep-15,-0.00500323,-0.00122596,
24-Sep-15,-0.02027575,-0.01838993,
25-Sep-15,0.01481788,0.01873733,
28-Sep-15,-0.02357452,-0.02422212,
29-Sep-15,0.00183793,-0.00349283,
30-Sep-15,0.02818546,0.02386129,
01-Oct-15,-0.00681265,-0.00206567,
02-Oct-15,0.00988078,0.00701271,
05-Oct-15,0.03048435,0.02656774,
06-Oct-15,0.00517891,-0.00118018,
07-Oct-15,0.01209992,0.00542976,
08-Oct-15,0.00709603,0.00415638,
09-Oct-15,-0.00183809,-0.00210465,
12-Oct-15,-0.00398987,-0.00147962,
13-Oct-15,-0.0120946,-0.00765356,
14-Oct-15,-0.0051466,-0.00897665,
15-Oct-15,0.00885719,0.0170051,
16-Oct-15,0.00093233,0.00619466,
19-Oct-15,0.00155243,0.00439037,
20-Oct-15,-0.00279005,-0.00396761,
21-Oct-15,0.00093262,-0.00328315,
22-Oct-15,0.03113596,0.02749062,
23-Oct-15,0.02432229,0.01982281,
26-Oct-15,-0.0061016,-0.00396077,
27-Oct-15,-0.00591716,-0.00592258,
28-Oct-15,0.01205357,0.01013978,
29-Oct-15,0.00330834,0.00466651,
30-Oct-15,-0.00190518,-0.00566923,
02-Nov-15,0.01013141,0.00748793,
03-Nov-15,0.01126535,0.00739582,
04-Nov-15,0.00488716,0.0050432,
05-Nov-15,-0.00779574,-0.00257159,
06-Nov-15,0.00778491,0.00750305,
09-Nov-15,-0.0108719,-0.01011659,
10-Nov-15,0.00072312,0.00447236,
11-Nov-15,0,-0.00053749,
12-Nov-15,-0.02095527,-0.01570636,
13-Nov-15,-0.00413315,-0.00851096,
16-Nov-15,0.00993108,0.00973167,
17-Nov-15,0.01555735,0.01521273,
18-Nov-15,0.0060698,0.00732608,
19-Nov-15,-0.00172377,-0.00227344,
20-Nov-15,0.00697892,0.00602983,
23-Nov-15,-0.00107173,0.00032974,
24-Nov-15,-0.00350476,-0.0070745,
25-Nov-15,0.00890037,0.0089311,
26-Nov-15,0.00263233,0.00391987,
27-Nov-15,-0.00269637,0.00061291,
30-Nov-15,0.0034863,0.00157628,
1-Dec-15,-0.00127623,0.00098956,
2-Dec-15,-0.00440153,-0.003096,
3-Dec-15,-0.03622362,-0.03537208,
4-Dec-15,0.00554898,0.00640459,
7-Dec-15,-0.00073578,0.00082804,
8-Dec-15,-0.01450556,-0.01288626,
9-Dec-15,-0.00709803,-0.01097576,
10-Dec-15,0.00203176,0.00176389,
11-Dec-15,-0.02012616,-0.02222717,
14-Dec-15,-0.01011649,-0.00767195,
15-Dec-15,0.02400124,0.02411695,
16-Dec-15,0.00733404,0.00810555,
17-Dec-15,0.00075058,0.00312636,
18-Dec-15,-0.01155029,-0.01423778,
21-Dec-15,-0.00402155,-0.00509155,
22-Dec-15,0.0054853,0.0019534,
23-Dec-15,0.02409456,0.02332193,
24-Dec-15,0,-0.00445516,
25-Dec-15,0,-0.00004562,
28-Dec-15,-0.01198579,-0.00150028,
29-Dec-15,0.01535121,0.01259688,
30-Dec-15,-0.00619515,-0.00610247,
31-Dec-15,-0.00460111,-0.00565579,
01-Jan-16,0,-0.00269924,
04-Jan-16,-0.01416536,-0.01375767,
