Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll
06.04.2015,36632219.58,33454218.11,0.91324573,33454218.11,0.91324573,0.002744338,0.003009108,0.003009108
07.04.2015,37211662.02,34033631.52,0.914595846,34033631.52,0.914595846,0.016392209,0.017934981,0.017934981
08.04.2015,37372746.34,34194238.01,0.91495117,34194238.01,0.91495117,0.004209142,0.004596722,0.004596722
09.04.2015,37869179.84,34686273.33,0.915949949,34686273.33,0.915949949,0.013345369,0.01457637,0.01457637
10.04.2015,38279318.74,35092367.83,0.916744837,35092367.83,0.916744837,0.010150844,0.011077964,0.011077964
13.04.2015,38113194.32,35044228.16,0.919477593,35044228.16,0.919477593,-0.001075138,-0.001176811,-0.001176811
14.04.2015,37912664.98,34844950.14,0.919084695,34844950.14,0.919084695,-0.005318035,-0.005773694,-0.005773694
15.04.2015,38436825.46,35368387.26,0.920169312,35368387.26,0.920169312,0.014043622,0.015272771,0.015272771
16.04.2015,38101739.11,35025449.93,0.919261187,35025449.93,0.919261187,-0.008644694,-0.009387021,-0.009387021
17.04.2015,37486299,34398928.53,0.91764003,34398928.53,0.91764003,-0.016510007,-0.017953864,-0.017953864
20.04.2015,37873759.83,34775068.84,0.918183698,34775068.84,0.918183698,0.010635637,0.011588345,0.011588345
21.04.2015,37898734.98,34800113.86,0.918239458,34800113.86,0.918239458,0.000785861,0.000854938,0.000854938
22.04.2015,37968187.12,34867965.39,0.918346859,34867965.39,0.918346859,0.001855908,0.00201952,0.00201952
23.04.2015,37921816.74,34416609.1,0.907567518,34416609.1,0.907567518,-0.001414336,-0.00153324,-0.00153324
24.04.2015,37925758.01,34421231.07,0.907595072,34421231.07,0.907595072,-0.000234332,-0.000252865,-0.000252865
27.04.2015,37987953.68,34483502.64,0.90774836,34483502.64,0.90774836,0.001497147,0.001651394,0.001651394
28.04.2015,37717133.15,34226989.14,0.907465289,34226989.14,0.907465289,-0.007424952,-0.008171137,-0.008171137
29.04.2015,37059066.73,33563324.31,0.905671062,33563324.31,0.905671062,-0.017215216,-0.018956011,-0.018956011
30.04.2015,36798595.01,33306526.42,0.905103209,33306526.42,0.905103209,-0.007639747,-0.008430767,-0.008430767
01.05.2015,36880052.54,33392572.71,0.905437233,33392572.71,0.905437233,0.002084903,0.0023038,0.0023038
04.05.2015,37094046.3,33605090.06,0.905942959,33605090.06,0.905942959,0.006290089,0.006946036,0.006946036
05.05.2015,36698870.11,33177061.09,0.904034947,33177061.09,0.904034947,-0.010539193,-0.011632853,-0.011632853
06.05.2015,36165861.02,33346577.72,0.92204573,33346577.72,0.92204573,-0.01424696,-0.01575558,-0.01575558
07.05.2015,35880692.19,33040784.47,0.920851368,33040784.47,0.920851368,0.004547568,0.00493039,0.00493039
08.05.2015,37203334.07,33847608.09,0.909800397,33847608.09,0.909800397,0.02153919,0.023389826,0.023389826
11.05.2015,37305763.75,33988022.93,0.911066267,33988022.93,0.911066267,0.003830667,0.004209145,0.004209145
12.05.2015,36890793.23,33573115.74,0.910067602,33573115.74,0.910067602,-0.011129534,-0.012214212,-0.012214212
13.05.2015,36725093.33,33407071.52,0.909652461,33407071.52,0.909652461,-0.004426091,-0.004861667,-0.004861667
