"","DEQ","Bench","Qu","Qe","EUR","SPX","SPXT","BE500","BE500T","Q","Hdg_Cst","US1m","EU1m","Q_hdg","SPX_hdg","SPXT_hdg"
"1774",0,-0.00352280743782796,0,0,-0.00539127604110395,0.0013524445504105,0.00135586675170885,0.000813102611878058,0.000886794731664864,-0.0121738009317092,1.97258328417591e-05,1.1,2.05988,-0.0121540750988674,0.00137217038325226,0.0013755925845506
"1775",0,-0.00602683056371944,0,0,-0.0148162723168195,0.00684898006262458,0.0068540281643017,0.0098784778356702,0.00987894342061235,-0.0103534120794917,1.9448577998453e-05,1.1,2.05663,-0.0103339635014932,0.00686842864062303,0.00687347674230015
"1776",0,-0.00277406728955842,0,0,-0.00355642146592969,0,0,0.00355770157776547,0.00355763991414015,-0.00682322534812574,5.80774915519972e-05,1.1,2.06,-0.00676514785657374,5.80774915519972e-05,5.80774915519972e-05
"1777",0,0.0152434958390826,0,0,0.0186111580738518,-0.000930395924220839,-0.000925592084352722,-0.00465050357304087,-0.00465082829454566,0.0165620882989783,1.94518656057505e-05,1.1,2.05925,0.0165815401645841,-0.000910944058615089,-0.000906140218746972
"1778",0,0.011713512942829,0,0,0.00491557320553337,0.0077415000931067,0.00781052756210698,0.00390558189862045,0.00398917753691119,0.0100493358530018,1.94313180600578e-05,1.1,2.07138,0.0100687671710619,0.00776093141116676,0.00782995888016704
"1779",0,0.00250329755154155,0,0,0.00591414411597618,-0.00321178861862315,-0.00319111063195709,0.000802200363899885,0.000802232681982318,0.00727348396649852,1.9763640314481e-05,1.1,2.0705,0.007293247606813,-0.00319202497830866,-0.00317134699164261
"1780",0,-0.0116599659653449,0,0,-0.0108297173215096,-0.00209145598641225,-0.00207909625251368,-0.00120354199701378,-0.00102505025364685,-0.00642056780292233,1.97395312015528e-05,1.1,2.07,-0.00640082827172078,-0.0020717164552107,-0.00205935672131213
"1781",0,0.00190037016955102,0,0,-0.00958320702580767,0.0120336509508503,0.0120310271638528,-0.00264140262676982,-0.00259584965494764,-0.00320513094894892,5.91763312379895e-05,1.1,2.07,-0.00314595461771093,0.0120928272820883,0.0120902034950908
"1782",0,0.00449320525427499,0,0,0.0146569455143912,-0.00984604069795569,-0.00984419937821546,0.00189562626773387,0.00189552882128652,0.00239712459972186,1.97258328418284e-05,1.1,2.07175,0.00241685043256368,-0.00982631486511387,-0.00982447354537363
"1783",0,-0.0242700121932176,0,0,-0.0140151999444764,-0.0137030038184882,-0.013539002055686,0.00389484426154141,0.0039061103943494,-0.017349638335113,1.9773777100246e-05,1.1,2.07175,-0.0173298645580128,-0.013683230041388,-0.0135192282785858
"1784",0,-0.000729150391303612,0,0,-0.00474258354456075,0.00498542533509561,0.00523366585359852,-0.00855417565089311,-0.00855426317198482,-0.0238829404633325,1.97737771002668e-05,1.1,2.0725,-0.0238631666862322,0.00500519911219587,0.00525343963069879
