Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll,,,,,,,,,,,,
24.11.2015,32901688.54,30711901.62,0.933136355,31022698.48,0.942579464,-0.001071735,-0.002986282,-0.002906899,,54.48201772,154.4820177,0.008893423,-0.002911132,,,,,,,
25.11.2015,33180545.27,31001925.72,0.933553514,31314656.34,0.942970695,-0.003504756,0.008920465,0.008893423,,54.98845345,154.9884535,0.003278283,0.00885411,,,,,,,
26.11.2015,33283061.53,31080396.58,0.933594664,31394713.09,0.943036121,0.008900373,0.003260183,0.003278283,,54.68854708,154.6885471,-0.001935024,0.003272921,,,,,,,
27.11.2015,33217872.8,30985873.71,0.933243797,31301964.43,0.942763932,0.002632328,-0.002011684,-0.001935024,,55.39042832,155.3904283,0.004537383,-0.001936899,,,,,,,
30.11.2015,33356055.31,31092982.64,0.933424125,31414526.43,0.943077002,-0.002696374,0.004407772,0.004537383,,55.29927888,155.2992789,-0.000586583,0.00452712,,,,,,,
01.12.2015,33332252.27,31052602.43,0.933185487,31380101.02,0.943027398,0.003486304,-0.000783845,-0.000586583,,54.63305747,154.6330575,-0.00428992,-0.000586755,,,,,,,
02.12.2015,33189620.56,30904241.16,0.932778593,31233558.41,0.942718331,-0.001276234,-0.004393525,-0.00428992,,48.87671955,148.8767196,-0.037225791,-0.004299148,,,,,,,
03.12.2015,32000513.86,29733651.66,0.930905903,30065292.33,0.941288962,-0.004401533,-0.037696693,-0.037225791,,49.65400583,149.6540058,0.005221006,-0.037936361,,,,,,,
04.12.2015,32155783.54,29900710.47,0.931232306,30235533.97,0.9416601,-0.036223617,0.005172302,0.005221006,,49.55060711,149.5506071,-0.000690918,0.005207424,,,,,,,
07.12.2015,32132020.94,29875474.08,0.931127353,30215308.86,0.941718966,0.005548979,-0.000865949,-0.000690918,,47.28116525,147.2811653,-0.015175076,-0.000691157,,,,,,,
08.12.2015,31650369.66,29407649.39,0.930549686,29752662.24,0.941466968,-0.000735781,-0.015520423,-0.015175076,,46.19584964,146.1958496,-0.007369005,-0.015291396,,,,,,,
09.12.2015,31431250.15,29189451.7,0.930018939,29535522.39,0.941045261,-0.014505559,-0.007491213,-0.007369005,,46.55036162,146.5503616,0.002424911,-0.00739629,,,,,,,
10.12.2015,31501037.76,29247923.54,0.93002896,29599998.78,0.94122429,-0.007098027,0.002248253,0.002424911,,43.41877124,143.4187712,-0.021368698,0.002421976,,,,,,,
11.12.2015,30861398.55,28611280.36,0.928485951,28966676.9,0.940019189,0.002031756,-0.021738761,-0.021368698,,41.90212667,141.9021267,-0.010574938,-0.021600314,,,,,,,
14.12.2015,30542287.33,28306598.25,0.928017139,28666468.22,0.939815289,-0.020126164,-0.010862136,-0.010574938,,45.40410037,145.4041004,0.024678796,-0.01063125,,,,,,,
15.12.2015,30940818.38,26558112.26,0.850497123,26920208.34,0.862092889,-0.010116493,0.024913535,0.024678796,,46.79004759,146.7900476,0.009531693,0.024379194,,,,,,,
16.12.2015,30670421.47,27457506.13,0.872468718,27821415.14,0.884032012,0.024001239,0.009594047,0.009531693,,46.76905602,146.769056,-0.000143004,0.009486553,,,,,,,
17.12.2015,30685630.81,27464024.29,0.872561299,27830967.25,0.884219467,7.33E-03,-0.000258752,-0.000143004,,44.91606675,144.9160668,-0.012625204,-0.000143014,,,,,,,
18.12.2015,30341732.79,27131541.61,0.871787222,27501173.92,0.8836642,0.000750582,-0.01289965,-0.012625204,,44.52008166,144.5200817,-0.002732513,-0.012705579,,,,,,,
