Date,NAV,Futures,Securities,FxPnL,PayableFees,AccruedFees,AUD Curncy,BRL Curncy,CHF Curncy,CNH Curncy,CNY Curncy,EUR Curncy,GBP Curncy,MXN Curncy,NOK Curncy,USD Curncy,ZAR Curncy,PaidFees,.TAX_EUR LX Equity,TotalFees,Cash
2016-04-21,41195701.63,-3606304.79,37690925.52,430846.81,49370.37,-38882.26,0,0,0,2200.38,0,1154901.18,2331.92,0,0,2150963.1,0,0,0,10488.11,3073929.29999999
2016-04-22,41216421.31,-3614611.94,38266581.6,325877.67,49362.29,-40307.35,0,0,0,2200.38,0,1154101.18,2331.92,0,0,1638319.72,0,0,0,9054.93999999999,2623962.03999999
2016-04-25,41186245.83,-3606523.99,38218432.16,372528.43,49338.05,-44536.01,0,0,0,2200.38,0,914801.18,2331.92,0,0,1884522.59,0,0,0,4802.03999999999,2595285.24000001
2016-04-26,41151572.35,-1308800,38106445.02,442651.56,49329.97,-45957.26,0,0,0,2200.38,0,912172.61,2331.92,0,0,1903757.18,0,0,0,3372.70999999999,2602475.77
2016-04-27,41209973.29,-1309700,37974681.39,450924.31,49321.89,-47383.58,0,0,0,2200.38,0,1095884.39,2331.92,0,0,1903754.27,0,0,0,1938.31,2784367.59
2016-04-28,41261671.86,-1310800,38020246.3,457042.97,49313.81,-48811.61,0,0,0,2200.38,0,1094784.39,2331.92,0,0,1907474.27,0,0,0,502.199999999997,2784382.59000001
2016-04-29,41307124.77,-1308500,37713563.52,721633.91,49305.72,-50241.51,0,0,0,2200.38,0,1197083.37,2331.92,0,0,1915599.27,0,0,0,-935.790000000008,2871927.34
2016-05-02,41257149.97,-1308700,37526008.21,830364.14,10190.09,-15399.29,0,0,0,2200.38,0,1196883.37,2331.92,0,0,1964015.52,0,0,0,-5209.20000000001,2900777.62
2016-05-03,41226146.09,-3098844.77,37769239.39,847471.46,10182,-16817.43,0,100900,0,2200.38,0,1049314.5,2331.92,0,0,1772546.77,0,0,0,-6635.43000000001,2609435.24
2016-05-04,41192307.3,-3102679.33,37774358.19,805677.8,10173.9,-18234.9,0,50450,0,2200.38,0,1049164.5,2331.92,0,0,1787708.81,0,0,0,-8061.00000000001,2612271.31000001
